Food Name,Food Group,Food Sub Group,Per Serving,Energy (kcal),Protein (g),Total Fat (g),Carbo (g),Dietary Fibre (g),Calcium (mg),Sugar (g)
"Lamb, boneless, unspecified cut, cooked, lean only",MEAT AND MEAT PRODUCTS,Mutton and lamb,Cup (190g),356.48,58.52,13.49,0,0,15.2,0
"Lamb, breast, rolled, stuffed, baked",MEAT AND MEAT PRODUCTS,Mutton and lamb,Slice (60g),173.4,11.28,12.9,3.3,0,12.6,0
"Lamb, chump chop, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (85g),240.54,25.16,15.64,0,0,17,0
"Lamb, chump chop, grilled, lean only",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (85g),171.67,27.8,6.63,0,0,14.45,0
"Lamb, leg, baked, lean and fat",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (64g),143.33,18.75,7.62,0,0,3.2,0
"Lamb, leg, baked, lean only",MEAT AND MEAT PRODUCTS,Mutton and lamb,Slice (65g),115.12,20.41,3.64,0,0,2.6,0
"Lamb, midloin chop, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (65g),237.69,14.04,20.41,0,0,5.2,0
"Lamb, midloin chop, grilled, lean only",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (65g),114.81,18.07,4.68,0,0,4.55,0
"Lamb, ribloin cutlet, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (50g),169.81,11.6,13.85,0,0,4.5,0
"Lamb, ribloin cutlet, grilled, lean only",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (50g),96.92,14.7,4.2,0,0,4,0
"Lamb, shank, simmered, lean and fat",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (235g),524.03,74.97,24.68,0,0,49.35,0
"Lamb, shank, simmered, lean only",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (235g),424.06,81.31,10.58,0,0,47,0
"Lamb, shoulder, baked, lean and fat",MEAT AND MEAT PRODUCTS,Mutton and lamb,Whole (43g),123.84,11.14,8.9,0,0,3.01,0
"Lamb, shoulder, baked, lean only",MEAT AND MEAT PRODUCTS,Mutton and lamb,Cup (30g),55.93,9.12,2.13,0,0,1.8,0
"Mutton, cooked",MEAT AND MEAT PRODUCTS,Mutton and lamb,Slice (23.67g),50.92,5.49,3.27,0,0,3.08,0
"Satay, mutton, frozen",MEAT AND MEAT PRODUCTS,Mutton and lamb,Stick (14g),29.96,2.59,1.18,2.25,0.06,3.08,2.04
"Deer/Venison, Raw",MEAT AND MEAT PRODUCTS,"Others (frog, venison, turtle etc)",1 portion (90g),108,20.7,2.16,0,0,4.5,0
"Frog, leg meat",MEAT AND MEAT PRODUCTS,"Others (frog, venison, turtle etc)",Whole (23.33g),18.46,2.75,0.33,1.1,0,28.23,1.1
"Bacon, cooked, baked",MEAT AND MEAT PRODUCTS,Pork,Slice (8.1g),44.39,2.89,3.5,0.11,0,0.81,0
"Bacon, cooked, pan-fried",MEAT AND MEAT PRODUCTS,Pork,Slice (7.9g),42.11,3.03,3.18,0.12,0,0.95,0
"Bologna, pork, round, mildly seasoned, cured",MEAT AND MEAT PRODUCTS,Pork,Slice (28g),69.26,4.28,5.57,0.2,0,3.08,
Canned luncheon meat,MEAT AND MEAT PRODUCTS,Pork,Slice (46.7g),146.17,4.34,13.45,1.96,0.33,24.75,0
"Ham, chopped, canned",MEAT AND MEAT PRODUCTS,Pork,Slice (21g),50.29,3.38,3.95,0.06,0,1.47,
"Ham, honey baked",MEAT AND MEAT PRODUCTS,Pork,Slice (21g),23.31,3.51,0.74,0.65,0,2.1,0.65
"Ham, leg, canned, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (25g),27.67,3.55,1.5,0,0,2.25,0.15
"Ham, leg, cured, with jelly, canned, lean and fat, boneless",MEAT AND MEAT PRODUCTS,Pork,Whole (35g),39.23,6.02,1.58,0.21,0,4.9,
"Ham, leg, non-canned, lean",MEAT AND MEAT PRODUCTS,Pork,Whole (25g),27.09,4.7,0.9,0,0,2.25,0
"Ham, leg, non-canned, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (25g),51.86,7.88,2.23,0,0,2.75,0
"Ham, shoulder, canned, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (35g),41.41,,2.21,0,0,5.6,0
"Liver sausage, pork, mildly seasoned, cured",MEAT AND MEAT PRODUCTS,Pork,Slice (18g),58.72,2.54,5.13,0.4,0,4.68,
Meat paste,MEAT AND MEAT PRODUCTS,Pork,Tablespoon (20g),41.16,2.46,2.78,1.64,0.2,40,0.22
"Minced pork, with bean paste, canned",MEAT AND MEAT PRODUCTS,Pork,Can (178g),574.94,33.29,33.82,34.18,2.14,23.14,13.35
Pate de foie,MEAT AND MEAT PRODUCTS,Pork,Whole (35g),96.63,5.74,7.98,0.42,0.49,7.7,0.07
Pepperoni,MEAT AND MEAT PRODUCTS,Pork,1 portion (16g),76.32,2.93,7.15,,0,,0.05
"Pig's heart, boiled",MEAT AND MEAT PRODUCTS,Pork,Piece (12.44g),18.41,2.94,0.63,0.05,0,0.87,0
"Pig's kidney, boiled",MEAT AND MEAT PRODUCTS,Pork,Piece (11.33g),17.11,2.88,0.53,0,0,1.47,0
"Pig's, skin, dried, fried",MEAT AND MEAT PRODUCTS,Pork,Piece (3g),18.55,1.54,1.38,0,0,0.57,0
"Pig, pancreas, cooked",MEAT AND MEAT PRODUCTS,Pork,Piece (20g),43.83,5.7,2.16,0,0,3.2,0
"Pig, tail, cooked, simmered",MEAT AND MEAT PRODUCTS,Pork,1 portion (110.3g),436.3,18.75,,0,0,,0
"Pig, trotter, cooked",MEAT AND MEAT PRODUCTS,Pork,Piece (64g),166.4,15.1,10.88,2.05,0,20.48,2.05
Pork katsu curry omurice,MEAT AND MEAT PRODUCTS,Pork,Plate-23cm (611g),1148.68,50.1,70.14,78.82,4.28,166.19,7.33
"Pork liver, boiled",MEAT AND MEAT PRODUCTS,Pork,Piece (4.4g),7.26,1.14,0.19,,0,0.44,0
"Pork trotter, canned",MEAT AND MEAT PRODUCTS,Pork,Can (390g),908.7,41.34,74.88,17.94,0,1201.2,11.7
"Pork, boneless, unspecified cut, cooked, 50% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (190g),460.01,52.63,27.93,0,0,26.6,0
"Pork, boneless, unspecified cut, cooked, 75% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (190g),395.98,55.1,19.57,0,0,26.6,0
"Pork, boneless, unspecified cut, cooked, fat only",MEAT AND MEAT PRODUCTS,Pork,Whole (50g),363.53,4.3,39.15,0,0,8,
"Pork, boneless, unspecified cut, cooked, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (190g),565.82,48.45,41.8,0,0,26.6,0
"Pork, butterfly steak, grilled, 50% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (120g),258.99,33.12,14.04,0,0,9.6,0
"Pork, butterfly steak, grilled, 75% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (120g),228.59,34.2,10.08,0,0,9.6,0
"Pork, butterfly steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (120g),312.91,31.08,,0,0,,0
"Pork, butterfly steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Pork,Whole (120g),188.33,39,,0,0,7.2,0
"Pork, centre rib, boiled, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Piece (35.65g),89.13,9.52,5.38,0,0,8.91,0
"Pork, cubed, with spicy sauce, canned",MEAT AND MEAT PRODUCTS,Pork,Can (144g),408.96,31.97,29.38,7.78,3.02,21.6,5.76
"Pork, forequarter chop, grilled, 50% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (190g),524.5,47.12,37.62,0,0,58.9,0
"Pork, forequarter chop, grilled, 75% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (190g),443.21,49.59,27.36,0,0,58.9,0
"Pork, forequarter chop, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (190g),652.1,43.32,53.96,0,0,60.8,0
"Pork, fresh, ground, cooked",MEAT AND MEAT PRODUCTS,Pork,1 portion (85g),252.45,21.84,17.65,0,0,18.7,0
"Pork, leg steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (125g),215.7,37.13,7.38,0,0,7.5,0
"Pork, leg steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Pork,Whole (85g),132.86,25.84,3.15,0,0,5.1,0
"Pork, leg, baked, 75% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (45g),101.96,13.86,5.13,0,0,3.15,0
"Pork, leg, baked, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (55g),186.14,13.86,14.69,0,0,,0
"Pork, leg, baked, lean only",MEAT AND MEAT PRODUCTS,Pork,Whole (45g),77.33,15.12,1.8,0,0,3.15,0
"Pork, medallion steak, grilled, 50% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (95g),242.95,27.84,14.63,0,0,7.6,0
"Pork, medallion steak, grilled, 75% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (95g),212.52,29.26,10.64,0,0,,0
"Pork, medallion steak, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (120g),370.84,32.28,27.12,0,0,9.6,0
"Pork, medallion steak, grilled, lean only",MEAT AND MEAT PRODUCTS,Pork,Whole (95g),178.18,30.78,5.99,0,0,7.6,0
"Pork, midloin chop, grilled, 50% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (135g),388.48,36.18,27.27,0,0,18.9,0
"Pork, midloin chop, grilled, 75% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (135g),321.37,39.02,18.36,0,0,18.9,0
"Pork, midloin chop, grilled, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Whole (135g),489.79,,40.64,0,0,18.9,0
"Pork, midloin chop, grilled, lean only",MEAT AND MEAT PRODUCTS,Pork,Whole (135g),236.19,42.53,7.16,0,,18.9,0
"Pork, roasted, with skin and fat",MEAT AND MEAT PRODUCTS,Pork,Plate-16cm (80g),309.94,19.12,25.52,0.72,0,15.76,
"Pork, spare ribs, roasted",MEAT AND MEAT PRODUCTS,Pork,Piece (28g),51.8,1.96,4.2,1.54,0,6.44,1.54
"Pork, waxed, cooked",MEAT AND MEAT PRODUCTS,Pork,Gram (1g),5.87,0.13,0.49,0.24,0,0,0.24
"Salami, unspecified",MEAT AND MEAT PRODUCTS,Pork,Whole (20g),85.6,4.32,7.48,0.26,0,5,0.12
Salted egg pork rib,MEAT AND MEAT PRODUCTS,Pork,Plate-20cm (314g),973.4,52.75,67.82,37.68,5.65,154.8,11.62
"Sausage, pork, cured, smoke, linked, grilled",MEAT AND MEAT PRODUCTS,Pork,Piece (68g),264.59,15.1,21.62,1.43,0,20.4,0.2
"Sausage, pork, home prepared, fried",MEAT AND MEAT PRODUCTS,Pork,Whole (75g),195.39,11.55,15,3.9,1.05,10.5,0.53
"Sausage, pork, home prepared, grilled",MEAT AND MEAT PRODUCTS,Pork,Whole (75g),213.49,12.6,16.28,4.58,1.13,,0.45
Taiwanese chinese sausage,MEAT AND MEAT PRODUCTS,Pork,Piece (55g),197.45,20.13,10.29,4.62,,15.4,
"Bologna, turkey, round, pre cooked",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Slice (28g),55.88,3.84,4.26,0.28,0,23.52,0
"Cheese sausage, cooked",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (35g),105.7,5.43,8.44,2.1,0.39,27.97,0.42
Chicken burrito,MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",1 portion (248g),443.92,24.4,15.92,44.91,5.95,233.12,4.29
"Chicken croquette, deep fried, commercial",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (55g),146.96,5.72,9.68,9.41,0,12.1,0
Chicken katsu curry omurice,MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Plate-23cm (646g),1124.04,55.56,64.34,80.75,4.52,154.39,7.75
Chicken patty,MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (76g),156.58,13.68,8.74,5.78,0.99,55.48,0.23
"Chicken, boneless, unspecified cut, baked, lean and fat",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (268g),661.03,68.07,43.68,0,0,37.52,0
"Chicken, boneless, unspecified cut, baked, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (213g),398.61,60.28,17.25,0,0,34.08,0
"Chicken, breaded, nugget",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (75g),207,10.42,13.55,8.99,1.8,16.5,0
"Chicken, breast quarter, rotisseried, commercial, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (150g),323.02,37.35,18.45,1.95,0,15,0
"Chicken, breast, baked, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (120g),261.85,31.2,15.24,0,0,12,0
"Chicken, breast, baked, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (120g),182.87,34.8,4.68,0,0,10.8,0
"Chicken, breast, battered, fried, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (140g),364,34.78,18.48,12.59,0.42,28,0
"Chicken, breast, boiled, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Cup (140g),211.4,40.57,4.24,0,0,18.2,0
"Chicken, breast, boneless, boiled, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (130g),239.2,35.61,9.65,0,0,16.9,0
"Chicken, breast, breaded, baked, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (98g),217.56,31.2,8.69,1.61,0.1,15.68,
"Chicken, breast, fried, skinless",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (120g),224.4,40.13,5.65,0.61,0,19.2,0
"Chicken, broilers or fryers, drumstick, meat and skin, cooked, stewed",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (84g),171.36,21.27,8.94,0,0,9.24,0
"Chicken, drumstick, baked, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (85g),184.64,22.53,10.54,0,0,19.55,0
"Chicken, drumstick, baked, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (85g),152.31,23.38,6.46,0,0,15.3,0
"Chicken, drumstick, boiled, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (95.8g),161.9,26.35,5.47,0,0,10.54,0
"Chicken, drumstick, flour coated, fried, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (74.24g),181.89,20.02,10.19,1.21,0.07,8.91,
"Chicken, drumstick, fried, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (95.5g),186.23,27.33,7.72,0,0,11.46,0
"Chicken, heart, boiled",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (8.22g),15.21,2.17,0.65,0.01,0,1.56,
"Chicken, leg quarter, rotisseried, commercial, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (150g),405.83,37.5,27.9,1.65,0,15,
"Chicken, liver, boiled",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Cup (153.89g),241.61,37.49,8.39,1.35,0,21.54,0
"Chicken, neck, boiled, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (54.2g),133.87,10.63,9.81,0,0,14.63,0
"Chicken, skin, baked",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (55g),239.21,12.27,21.4,0,0,29.7,0
"Chicken, thigh, boiled, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (89.5g),207.64,20.82,13.19,0,0,9.85,0
"Chicken, thigh, boiled, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (76.64g),149.45,19.16,7.5,0,0,8.43,0
"Chicken, thigh, roasted, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (81g),200.07,20.3,12.55,0,0,9.72,0
"Chicken, thigh, roasted, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (81g),169.2,20.98,8.83,0,0,9.72,0
"Chicken, unspec cut, rotisseried, commercial, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (295g),714.94,73.46,45.43,3.54,0,29.5,
"Chicken, wing, boiled, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (86.44g),215.24,19.69,14.54,0,0,10.37,0
"Chicken, wing, roasted, lean only",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (61g),128.88,18.42,5.61,0,0,9.15,0
"Chicken, wing, tip, baked",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (10.44g),47.4,2.13,4.25,0,0,1.46,
"Chicken, wing, tip, boiled",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (10.44g),37.9,1.59,3.45,0,0,1.25,0
"Chicken, wing, tip, flour coated, fried",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (10.44g),52.41,1.99,4.45,0.98,,1.46,
"Curry, chicken, canned",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Can (300g),597.28,36,34.2,36,,636,29.55
Deep fried chicken wing,MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (96g),307.69,25.06,21.31,2.3,0,14.4,
"Duck, with preserved vegetable, canned",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Can (362g),662.46,40.54,45.61,22.81,10.5,3055.28,14.48
"Frankfurter, chicken, precooked",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Piece (11.78g),30.29,1.52,2.3,0.8,0.01,11.19,
"Frankfurter, turkey",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (45g),101.85,6.44,7.97,0.68,0,47.7,
"Goose, roasted, lean and skin",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Whole (1548g),4721.4,389.48,339.32,0,0,1408.68,0
"Ham, chicken",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Slice (21g),30.03,3.19,1.55,0.82,0,1.05,0.17
"Ham, turkey",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Slice (28.4g),36.35,5.38,1.44,0.11,0,2.84,0
"Satay, chicken, canned",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Can (299g),633.88,37.67,43.65,22.72,2.39,140.53,14.95
"Satay, chicken, frozen",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Stick (14g),27.02,2.84,0.7,2.38,0.07,2.24,2.17
"Sausage, cocktail, chicken, boiled",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Gram (75g),147,17.92,7.83,0,0,16.5,0
"Turkey, all classes, breast, meat and skin, roasted",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",1 portion (90g),170.1,25.83,6.66,0,0,18.9,0
"Turkey, fryer-roasters, breast, meat only, roasted",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",1 portion (90g),121.5,27.09,0.63,0,0,10.8,0
"Turkey, fryer-roasters, meat only, roasted",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",1 portion (90g),135,26.64,2.34,0,0,18,0
"Pork chop, stewed, canned",MEAT AND MEAT PRODUCTS,Pork,Can (373g),,50.36,62.66,11.56,2.24,201.42,11.19
"Pork, forequarter chop, grilled, lean only",MEAT AND MEAT PRODUCTS,Pork,Whole (190g),,52.63,,0,0,58.9,0
"Pork, leg, baked, 50% trimmed",MEAT AND MEAT PRODUCTS,Pork,Whole (45g),,12.87,,0,,3.15,0
"Pork, spare rib, boiled, lean and fat",MEAT AND MEAT PRODUCTS,Pork,Piece (35.65g),,10.36,10.8,0,0,16.76,0
"Pork, boneless, unspecified cut, cooked, lean only",MEAT AND MEAT PRODUCTS,Pork,Whole (190g),,,9.88,0,,24.7,0
"Cheese spread, cream cheese",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (24g),83.43,2.66,7.92,0.67,0,67.2,0.67
"Cheese spread,cheddar",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (24g),69.59,3.82,5.93,0.41,0,112.8,0.41
"Cheese, Neufchatel",MILK AND MILK PRODUCTS,Cheeses,Slice (22g),70.42,2.07,6.8,0.48,0,24.86,0.48
"Cheese, blue vein, commercial",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (22g),81.26,4.47,7.13,0,0,112.2,0
"Cheese, brie",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (20g),67.21,3.86,5.82,0.02,0,93.6,0.02
"Cheese, camembert",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (20g),60.29,3.9,5,0.02,0,96.8,0.02
"Cheese, cheddar",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),64.08,4.14,5.33,0,0,114.72,0
"Cheese, cheddar, processed",MILK AND MILK PRODUCTS,Cheeses,Slice (21g),64.14,4.39,5.23,0.02,0,116.76,0.02
"Cheese, cheddar, reduced fat",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),53.67,4.62,3.87,0,0,128.16,0
"Cheese, cheddar, reduced fat, reduced salt",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),55.2,4.66,4.06,0.02,0,128,0.02
"Cheese, cheddar, reduced salt",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),65.28,3.9,5.6,0,0,121.6,0
"Cheese, cheedam",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),56.29,4.13,4.45,0.05,0,142.4,0.05
"Cheese, cheshire",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),61.82,3.87,5.2,0,0,97.6,0
"Cheese, colby",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),61.44,3.84,5.17,0.02,0,104.8,0.02
"Cheese, cottage",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),29.21,3.06,1.86,0.08,0,13.4,0.08
"Cheese, cottage, creamed",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),24.07,3.08,1.14,0.38,0,17.8,0.38
"Cheese, cottage, low fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),17.97,3.54,0.24,0.38,0,15.4,0.38
"Cheese, cotto",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (15g),31.76,4.16,1.68,0.02,0,144,0.02
"Cheese, cream",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),64.98,1.64,6.38,0.5,0,16.4,0.5
"Cheese, edam",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),55.85,4.4,4.29,0,0,134.24,0
"Cheese, fruit",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (22g),64.52,1.74,5.13,3.15,0,7.26,0
"Cheese, gloucester",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),64.82,4,5.49,0,0,112.8,0
"Cheese, gouda",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),60.44,4.18,4.9,0,0,129.6,0
"Cheese, haloumy",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),39.2,3.41,2.74,0.29,0,99.2,0.29
"Cheese, havarti",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (16g),64.65,3.1,5.87,0.02,0,80,0.02
"Cheese, mozzarella",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),61.44,5.2,4.5,0.14,0,121.2,0.12
"Cheese, mozzarella, reduced fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),57.56,6.34,3.58,0.02,0,190,0.02
"Cheese, nimbin",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),63.63,3.86,5.42,0,0,118.4,0
"Cheese, parmesan",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),88.38,7.62,6.54,0.02,0,229.2,0.02
"Cheese, pecorino",MILK AND MILK PRODUCTS,Cheeses,Slice (18g),63.99,5.04,4.9,0.04,0,133.74,0.04
"Cheese, pepato",MILK AND MILK PRODUCTS,Cheeses,Wedge/Chunk (20g),76.24,5.2,6.22,0.02,0,154.6,0.02
"Cheese, pizza",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),62.25,5.76,4.38,0.02,0,162.2,0.02
"Cheese, provolone",MILK AND MILK PRODUCTS,Cheeses,Slice (17g),61.98,4.73,4.83,0.02,0,127.5,0.02
"Cheese, quark",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),26.82,2.16,1.92,0.28,0,17,0.28
"Cheese, quark, low fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),15.45,2.78,0.22,0.58,0,18.8,0.58
"Cheese, raclette",MILK AND MILK PRODUCTS,Cheeses,Slice (16g),58.85,4,4.82,0,0,84.8,0
"Cheese, ricotta",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),29.45,2.1,2.26,0.24,0,45,0.24
"Cheese, ricotta, reduced fat",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),25.12,2.02,1.74,0.4,0,46,0.4
"Cheese, romano",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (10g),37.51,3.13,2.79,0.02,0,96.3,0.02
"Cheese, samsue",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),62.14,3.73,5.31,0,0,108.8,0
"Cheese, steppen",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),51.59,4.05,3.97,0.02,0,131.2,0.02
"Cheese, swiss",MILK AND MILK PRODUCTS,Cheeses,Slice (18g),68.75,5.15,5.4,0,0,163.44,0
"Cheese, tilsit",MILK AND MILK PRODUCTS,Cheeses,Cube/Square (16g),59.24,4.19,4.77,0.02,0,110.4,0.02
"Cream cheese dip, flavoured",MILK AND MILK PRODUCTS,Cheeses,Tablespoon (22g),53.05,1.01,4.75,1.83,0,27.5,1.83
Cream cheese powder,MILK AND MILK PRODUCTS,Cheeses,Tablespoon (20g),140.2,2.78,13.26,2.32,0,42.4,1.5
"Cream, pure",MILK AND MILK PRODUCTS,Cream,Cup (200g),661.72,4.6,71,3.6,0,120,3.6
"Cream, reduced fat, canned",MILK AND MILK PRODUCTS,Cream,Tablespoon (15g),0,0,0,0,0,13.65,0
